,assets,cash,equity
0,0,1.1025,1.1025
1,-19,3810.6025,3.9524999999998727
2,-23,4612.2025,8.75250000000051
3,-23,4612.2025,7.602500000000873
4,-4,811.8025000000001,10.802500000000123
5,-4,811.8025000000001,11.002500000000168
6,-8,1612.6025000000002,11.802500000000236
7,-8,1612.6025000000002,12.2025000000001
8,32,-6391.3975,11.802499999999782
9,32,-6391.3975,10.202500000000327
10,42,-8391.3975,12.802499999999782
11,42,-8391.3975,14.902500000000146
12,42,-8391.3975,17.00250000000051
13,29,-5788.797500000001,15.552499999998872
14,7,-1392.8975000000007,8.852499999999281
15,7,-1392.8975000000007,7.802499999999327
16,-18,3614.6025,11.90249999999969
17,2,-393.39750000000004,6.902499999999975
18,-58,11606.6025,-13.6974999999984
19,-58,11606.6025,-31.097499999999854
20,-78,15622.6025,-35.89749999999913
21,-78,15622.6025,-39.79750000000058
22,-88,17634.602500000005,-4.997499999994034
23,-100,20044.202500000007,-30.797499999993306
24,-100,20044.202500000007,-70.7974999999933
25,-80,16028.20250000001,-67.79749999998967
26,-100,20066.202500000014,-123.79749999998239
27,-100,20066.202500000014,-143.79749999998603
28,-91,18246.40250000001,-199.29749999998967
29,-91,18246.40250000001,-203.84749999998894
30,-100,20070.70250000001,-269.29749999998967
31,-100,20070.70250000001,-274.29749999998967
32,-100,20070.70250000001,-319.29749999998967
33,-83,16604.40250000001,-344.1974999999875
34,-63,12530.40250000001,-334.1974999999893
35,-56,11105.202500000009,-299.1974999999893
36,-81,16214.202500000009,-338.14749999999367
37,-81,16214.202500000009,-330.0474999999915
38,-81,16214.202500000009,-281.4474999999893
39,-84,16830.30250000001,-330.89749999999185
40,-81,16221.302500000009,-367.4974999999904
41,-92,18478.402500000022,-386.1974999999802
42,-72,14370.302500000023,-436.49749999997766
43,-72,14370.302500000023,-414.8974999999773
44,-72,14370.302500000023,-450.8974999999755
45,-72,14370.302500000023,-411.29749999997694
46,-72,14370.302500000023,-411.29749999997694
47,-72,14370.302500000023,-407.69749999997657
48,-72,14370.302500000023,-386.0974999999762
49,-75,14985.902500000024,-370.3474999999762
50,-55,10894.102500000023,-367.1474999999773
51,-94,18871.002500000024,-370.7974999999751
52,-100,20098.602500000023,-346.3974999999773
53,-100,20098.602500000023,-346.3974999999773
54,-100,20098.602500000023,-311.39749999998094
55,-100,20098.602500000023,-326.3974999999773
56,-100,20098.602500000023,-316.39749999997366
57,-97,19485.802500000023,-365.24749999997584
58,-93,18667.402500000022,-416.19749999997657
59,-68,13534.902500000022,-435.69749999997657
60,-76,15179.702500000023,-415.49749999997584
61,-86,17235.70250000002,-359.8974999999773
62,-86,17235.70250000002,-334.097499999978
63,-100,20095.90250000002,-334.09749999998166
64,-94,18870.702500000018,-394.59749999998166
65,-91,18258.702500000018,-341.69749999998385
66,-70,13987.00250000003,-317.4974999999722
67,-73,14602.90250000003,-325.59749999997075
68,-73,14602.90250000003,-267.1974999999693
69,-87,17459.302500000027,-262.59749999997075
70,-87,17459.302500000027,-423.5474999999751
71,-57,11288.302500000025,-416.6474999999755
72,-67,13342.302500000025,-352.49749999997584
73,-64,12740.202500000025,-325.39749999997366
74,-55,10905.902500000022,-325.097499999978
75,-55,10905.902500000022,-333.34749999997985
76,-75,14984.702500000023,-289.0474999999751
77,-10,1737.8025000000234,-297.19749999997657
78,-10,1737.8025000000234,-296.69749999997657
79,2,-705.3974999999766,-295.8974999999766
80,2,-705.3974999999766,-295.6974999999766
81,9,-2134.0974999999767,-295.3974999999766
82,21,-4583.297499999977,-295.0974999999771
83,21,-4575.697499999977,-292.74749999997675
84,29,-6205.497499999977,-293.8474999999762
85,42,-8852.297499999979,-286.3974999999791
86,42,-8852.297499999979,-282.1974999999784
87,46,-9667.897499999977,-279.29749999997694
88,46,-9667.897499999977,-276.99749999997766
89,46,-9667.897499999977,-304.5974999999762
90,26,-5598.897499999977,-313.0974999999771
91,6,-1558.5974999999771,-334.5974999999771
92,4,-1149.7974999999772,-335.79749999997716
93,-3,276.10250000002287,-333.9474999999772
94,-16,2920.3025000000234,-332.49749999997675
95,-16,2920.3025000000234,-332.49749999997675
96,-6,888.3025000000227,-329.99749999997744
97,-6,888.3025000000227,-329.69749999997725
98,-6,888.3025000000227,-326.69749999997725
99,-6,888.3025000000227,-325.7974999999774
100,35,-7410.097499999979,-324.34749999997894
101,55,-11460.097499999978,-341.847499999978
102,64,-13275.39749999998,-353.7974999999806
103,63,-13073.597499999982,-375.9474999999802
104,61,-12670.397499999981,-375.84749999997985
105,80,-16506.79749999998,-394.79749999997875
106,80,-16506.79749999998,-398.79749999997694
107,80,-16506.79749999998,-402.79749999997875
108,30,-6450.297499999979,-417.29749999997784
109,23,-5043.9974999999795,-425.59749999997894
110,23,-5043.9974999999795,-426.7474999999795
111,23,-5043.9974999999795,-426.7474999999795
112,41,-8654.797499999979,-428.1474999999791
113,24,-5244.597499999979,-426.59749999997894
114,24,-5244.597499999979,-421.79749999997966
115,24,-5244.597499999979,-424.1974999999793
116,24,-5244.597499999979,-428.9974999999795
117,-55,10599.702500000021,-444.29749999997875
118,-49,9396.702500000021,-435.1474999999773
119,11,-2645.2974999999788,-439.2474999999786
120,-9,1364.7025000000212,-441.1474999999789
121,-9,1364.7025000000212,-441.5974999999787
122,-29,5374.902500000021,-443.9474999999784
123,0,-442.4974999999796,-442.4974999999796
124,0,-442.4974999999796,-442.4974999999796
125,-42,7986.90250000002,-434.09749999997985
126,-42,7986.90250000002,-440.3974999999791
127,-42,7986.90250000002,-440.3974999999791
128,-72,14002.00250000002,-437.59749999997985
129,-72,14002.00250000002,-437.59749999997985
130,-72,14002.00250000002,-437.59749999997985
131,-72,14002.00250000002,-437.59749999997985
132,-72,14002.00250000002,-437.59749999997985
133,-82,16008.002500000022,-437.09749999997985
134,-82,16008.002500000022,-428.8974999999755
135,-100,19615.20250000002,-439.79749999997875
136,-100,19615.20250000002,-439.79749999997875
137,-100,19615.20250000002,-439.79749999997875
138,-100,19615.20250000002,-439.79749999997875
139,-40,7573.702500000021,-448.29749999997875
140,-34,6369.502500000022,-459.3974999999782
141,-34,6369.502500000022,-461.0974999999771
142,-34,6369.502500000022,-455.99749999997766
143,-44,8379.502500000022,-455.6974999999784
144,-62,11990.302500000027,-437.59749999997257
145,-58,11187.502500000026,-490.7974999999733
146,-40,7567.7025000000285,-482.2974999999715
147,-38,7166.502500000029,-479.09749999997075
148,-30,5559.302500000029,-472.1974999999711
149,-50,9588.802500000025,-478.69749999997657
150,-69,13408.602500000025,-522.497499999974
151,-69,13408.602500000025,-525.9474999999748
152,-73,14216.602500000025,-503.8474999999744
153,-56,10781.702500000025,-555.497499999974
154,-54,10377.902500000026,-551.6974999999748
155,-44,8352.102500000025,-551.2974999999769
156,-44,8352.102500000025,-553.4974999999758
157,-85,16639.902500000022,-525.847499999978
158,-100,19678.902500000026,-496.0974999999744
159,-100,19678.902500000026,-526.0974999999744
160,-100,19678.902500000026,-601.0974999999744
161,-100,19678.902500000026,-491.0974999999744
162,-100,19678.902500000026,-576.0974999999744
163,-100,19678.902500000026,-601.0974999999744
164,-88,17251.30250000003,-564.2974999999678
165,-88,17251.30250000003,-542.2974999999678
166,-88,17251.30250000003,-546.6974999999693
167,-85,16648.00250000003,-611.2474999999686
168,-95,18677.00250000003,-588.9974999999686
169,-86,16854.50250000003,-629.2974999999678
170,-76,14822.902500000035,-631.6974999999675
171,-66,12788.902500000035,-635.4974999999649
172,-26,4640.4025000000365,-647.997499999964
173,-26,4640.4025000000365,-644.0974999999635
174,-4,163.40250000003653,-651.7974999999635
175,6,-1872.5974999999632,-653.3974999999634
176,-8,972.2025000000363,-652.9974999999636
177,-10,1381.2025000000363,-651.2974999999637
178,-23,4026.7025000000363,-637.6974999999643
179,-43,8086.702500000036,-622.9474999999638
180,-43,8086.702500000036,-633.6974999999638
181,-43,8086.702500000036,-665.9474999999638
182,-44,8292.102500000037,-672.8974999999627
183,-44,8292.102500000037,-626.697499999962
184,-65,12559.302500000036,-606.4474999999638
185,-65,12559.302500000036,-586.9474999999638
186,-65,12559.302500000036,-586.9474999999638
187,-65,12559.302500000036,-622.6974999999638
188,-65,12559.302500000036,-619.4474999999638
189,-45,8505.302500000033,-622.9474999999693
190,-45,8505.302500000033,-631.9474999999675
191,-45,8505.302500000033,-620.6974999999675
192,-14,2234.0025000000314,-600.2974999999683
193,-14,2234.0025000000314,-593.2974999999683
194,-14,2232.102500000032,-597.9974999999681
195,8,-2211.897499999968,-594.6974999999682
196,-10,1422.3025000000316,-596.1974999999686
197,-10,1422.3025000000316,-593.6974999999684
198,-24,4248.902500000032,-585.8974999999673
199,-26,4658.202500000032,-600.2974999999678
200,-26,4658.202500000032,-595.097499999968
201,-26,4658.202500000032,-596.3974999999673
202,-26,4658.202500000032,-608.097499999968
203,-76,14773.202500000032,-574.9974999999667
204,-100,19618.802500000034,-576.1974999999657
205,-90,17596.00250000003,-561.4974999999686
206,-100,19613.00250000003,-576.9974999999686
207,-100,19613.00250000003,-571.9974999999722
208,-40,7499.00250000003,-574.9974999999713
209,-84,16371.002500000024,-592.7974999999751
210,-62,11931.40250000003,-583.2974999999715
211,-62,11931.40250000003,-583.2974999999715
212,-62,11931.40250000003,-583.2974999999715
213,-62,11931.40250000003,-583.2974999999715
214,-42,7893.402500000029,-580.0974999999708
215,-34,6279.80250000003,-581.3974999999709
216,-34,6279.80250000003,-583.0974999999708
217,-34,6279.80250000003,-583.0974999999708
218,-100,19595.902500000037,-544.0974999999598
219,-77,14959.102500000039,-571.7974999999606
220,-37,6887.102500000039,-560.9974999999613
221,-87,16947.102500000037,-535.5474999999606
222,-84,16344.70250000004,-526.697499999962
223,-84,16344.70250000004,-518.2974999999606
224,-84,16344.70250000004,-518.2974999999606
225,-34,6304.702500000039,-524.1974999999611
226,-24,4294.30250000004,-526.0974999999598
227,15,-3544.69749999996,-528.9474999999602
228,47,-9976.69749999996,-527.3474999999598
229,-33,6095.30250000004,-537.6974999999602
230,-33,6095.30250000004,-539.3474999999607
231,-3,62.3025000000398,-540.3974999999601
232,-3,62.3025000000398,-540.5474999999601
233,27,-5970.59749999996,-544.9474999999602
234,46,-9787.697499999958,-539.3974999999573
235,46,-9787.697499999958,-546.2974999999587
236,39,-8379.997499999958,-542.9474999999584
237,39,-8379.997499999958,-548.7974999999569
238,39,-8379.997499999958,-548.7974999999569
239,-21,3661.7025000000413,-556.1474999999591
240,29,-6388.097499999959,-564.8974999999582
241,29,-6388.097499999959,-564.8974999999582
242,29,-6388.097499999959,-569.2474999999595
243,26,-5785.9974999999595,-571.6974999999593
244,20,-4582.39749999996,-572.39749999996
245,23,-5183.297499999961,-574.0974999999607
246,73,-15209.69749999996,-580.4974999999595
247,73,-15209.69749999996,-565.8974999999609
248,69,-14407.69749999996,-576.6474999999609
249,69,-14407.69749999996,-580.0974999999598
250,0,1.1025,1.1025
251,20,-4008.8975,-1.8975000000000364
252,20,-4008.8975,-7.897500000000036
253,11,-2206.1975,-12.797500000000127
254,7,-1406.5975000000003,-11.147500000000264
255,7,-1406.5975000000003,-11.84750000000031
256,7,-1406.5975000000003,-11.497500000000173
257,-27,5358.202499999998,-10.747500000003129
258,-5,978.5024999999978,-15.24750000000222
259,-12,2372.4025,-15.597499999999854
260,-12,2372.4025,-16.19750000000022
261,-10,1978.6025,-7.897499999999809
262,-29,5782.7025,3.0024999999996
263,-18,3588.2025000000003,-6.397499999999582
264,-32,6379.802499999999,7.0024999999996
265,-26,5186.402499999999,-12.297500000000582
266,-23,4586.702499999999,-13.297500000000582
267,-23,4586.702499999999,-25.947500000001128
268,-22,4386.8025,-26.397500000000036
269,-22,4386.8025,-26.397500000000036
270,-12,2379.2024999999994,-28.597500000000764
271,-12,2379.2024999999994,-29.19750000000022
272,-12,2379.2024999999994,-27.9975000000004
273,-27,5395.702499999999,-2.9475000000002183
274,1,-201.29750000000047,-0.997500000000457
275,1,-201.29750000000047,-1.2975000000004684
276,1,-201.29750000000047,-1.2975000000004684
277,1,-201.29750000000047,-1.247500000000457
278,-26,5193.502499999999,-12.99750000000131
279,-85,16997.3025,-2.6974999999983993
280,-90,17998.3025,16.3025000000016
281,-90,17998.3025,16.3025000000016
282,-93,18597.702500000003,20.952500000003056
283,-93,18597.702500000003,20.952500000003056
284,-43,8607.702500000003,18.452500000003056
285,-43,8607.702500000003,22.75250000000233
286,-43,8607.702500000003,20.602500000002692
287,-14,2819.3025000000016,23.502500000001874
288,-10,2020.9025000000015,22.402500000001282
289,-80,15993.702500000003,13.702500000003056
290,-80,15993.702500000003,13.702500000003056
291,-81,16193.402500000004,25.80250000000342
292,-81,16193.402500000004,29.852500000002692
293,-81,16193.402500000004,5.552500000001601
294,-81,16193.402500000004,9.602500000002692
295,-81,16193.402500000004,5.552500000001601
296,-10,2000.5025000000041,2.5025000000041473
297,-10,2000.5025000000041,3.0025000000041473
298,20,-3996.497499999996,-3.4974999999963075
299,-4,793.9025000000042,-4.297499999995807
300,-4,793.9025000000042,-3.8974999999957163
301,-4,793.9025000000042,-3.6974999999957845
302,9,-1795.6974999999957,-1.9974999999956253
303,59,-11770.197499999995,-8.547499999993306
304,59,-11770.197499999995,-8.547499999993306
305,79,-15758.197499999995,-25.347499999996217
306,79,-15758.197499999995,-25.347499999996217
307,50,-9984.097499999994,-46.5974999999944
308,50,-9984.097499999994,-61.5974999999944
309,42,-8396.097499999994,-73.79749999999513
310,42,-8396.097499999994,-73.79749999999513
311,38,-7598.797499999994,-72.89749999999367
312,9,-1864.1974999999945,-86.24749999999449
313,3,-678.5974999999945,-86.54749999999444
314,3,-678.5974999999945,-86.84749999999451
315,23,-4624.597499999994,-90.14749999999458
316,6,-1273.8974999999946,-92.19749999999476
317,6,-1273.8974999999946,-91.89749999999458
318,6,-1273.8974999999946,-92.19749999999476
319,-14,2664.1025000000054,-91.79749999999513
320,6,-1275.1974999999945,-93.49749999999472
321,6,-1275.1974999999945,-93.49749999999472
322,6,-1275.1974999999945,-94.39749999999435
323,23,-4615.697499999995,-90.44749999999476
324,6,-1270.0974999999949,-89.59749999999485
325,26,-5206.097499999994,-90.5974999999944
326,-35,6785.702500000006,-86.54749999999513
327,-35,6785.702500000006,-83.04749999999422
328,-57,11102.302500000007,-78.24749999999221
329,-7,1292.302500000007,-80.04749999999308
330,-7,1292.302500000007,-80.7474999999929
331,-29,5608.702500000008,-78.19749999999203
332,-36,6982.102500000007,-79.2974999999924
333,-36,6982.102500000007,-82.89749999999276
334,-36,6982.102500000007,-82.89749999999276
335,-36,6982.102500000007,-82.89749999999276
336,54,-10693.097499999993,-90.19749999999112
337,38,-7553.297499999994,-99.5974999999953
338,41,-8141.597499999994,-91.24749999999312
339,8,-1676.5974999999944,-104.99749999999449
340,-16,3032.502500000005,-105.89749999999458
341,-16,3032.502500000005,-109.0974999999953
342,-76,14794.602500000005,-127.99749999999767
343,-76,14794.602500000005,-120.39749999999549
344,4,-924.7974999999951,-139.59749999999508
345,3,-728.3974999999951,-139.49749999999506
346,-22,4172.002500000005,-144.39749999999458
347,0,-148.7974999999956,-148.7974999999956
348,0,-148.7974999999956,-148.7974999999956
349,-10,1814.2025000000044,-150.29749999999558
350,-10,1814.2025000000044,-149.79749999999558
351,0,-149.7974999999957,-149.7974999999957
352,30,-6051.097499999996,-166.59749999999622
353,30,-6051.097499999996,-174.09749999999622
354,-12,2165.002500000004,-183.99749999999585
355,-3,406.4025000000041,-181.44749999999578
356,-3,406.4025000000041,-182.64749999999594
357,-32,6096.602500000004,-157.79749999999603
358,-32,6096.602500000004,-151.3974999999964
359,-27,5119.802500000005,-165.44749999999476
360,-17,3159.3025000000052,-160.79749999999513
361,-9,1595.802500000005,-166.39749999999503
362,30,-6048.197499999995,-159.19749999999476
363,20,-4085.197499999995,-170.19749999999522
364,-14,2575.402500000005,-162.29749999999513
365,-14,2575.402500000005,-168.59749999999485
366,-10,1790.602500000005,-174.89749999999503
367,11,-2337.0974999999958,-180.54749999999558
368,11,-2337.0974999999958,-190.99749999999585
369,-25,4679.802500000004,-187.69749999999567
370,-41,7807.502500000004,-185.44749999999567
371,-35,6640.1025000000045,-205.8974999999964
372,-27,5076.1025000000045,-228.04749999999513
373,-27,5076.1025000000045,-226.69749999999476
374,-26,4905.402500000006,-169.79749999999422
375,-38,7275.402500000006,-174.49749999999494
376,15,-3123.1974999999943,-174.9474999999943
377,23,-4693.597499999994,-174.0974999999944
378,25,-5085.397499999995,-161.64749999999458
379,85,-16913.997499999998,-164.74749999999767
380,100,-19859.9975,-219.99750000000495
381,100,-19859.9975,-229.9975000000013
382,86,-17111.797499999997,-251.49749999999767
383,100,-19854.3975,-264.3974999999991
384,100,-19854.3975,-319.3974999999955
385,100,-19854.3975,-354.3974999999991
386,78,-15566.597499999998,-372.1974999999966
387,98,-19464.597499999996,-359.4974999999977
388,98,-19464.597499999996,-359.4974999999977
389,82,-16345.197499999995,-416.69749999999476
390,82,-16345.197499999995,-408.4974999999922
391,72,-14402.197499999995,-444.99749999999403
392,72,-14402.197499999995,-459.3974999999955
393,-8,1070.7025000000049,-476.49749999999494
394,25,-5301.597499999994,-472.8474999999953
395,100,-19791.597499999996,-471.5974999999962
396,80,-15925.5975,-465.59749999999985
397,100,-19789.597500000007,-469.59750000000713
398,100,-19789.597500000007,-469.59750000000713
399,77,-15343.69750000001,-471.14750000001186
400,77,-15343.69750000001,-478.84750000000895
401,74,-14764.097500000009,-493.1975000000075
402,74,-14764.097500000009,-493.1975000000075
403,74,-14764.097500000009,-493.1975000000075
404,34,-7054.397500000007,-507.6975000000066
405,34,-7054.397500000007,-504.29750000000786
406,24,-5129.997500000008,-507.59750000000804
407,24,-5129.997500000008,-506.3975000000073
408,36,-7441.197500000008,-503.9975000000086
409,36,-7441.197500000008,-509.3975000000082
410,-54,9876.102499999994,-526.997500000005
411,-4,241.1024999999936,-529.4975000000063
412,26,-5539.8975000000055,-532.297500000006
413,26,-5539.8975000000055,-523.1975000000057
414,46,-9399.897500000006,-533.3975000000064
415,34,-7088.697500000008,-545.3975000000091
416,34,-7088.697500000008,-538.597500000009
417,20,-4386.697500000008,-529.697500000008
418,20,-4386.697500000008,-525.6975000000084
419,36,-7474.697500000008,-523.097500000009
420,66,-13271.797500000006,-510.69750000000386
421,66,-13271.797500000006,-537.0975000000071
422,42,-8646.197500000006,-559.0975000000053
423,62,-12500.197500000007,-565.1975000000075
424,62,-12500.197500000007,-552.7975000000079
425,38,-7877.797500000007,-562.797500000007
426,38,-7878.197500000007,-557.4975000000068
427,18,-4028.1975000000066,-562.2975000000065
428,8,-2104.1975000000066,-562.9975000000068
429,4,-1332.9975000000065,-562.3975000000066
430,4,-1330.3975000000064,-558.5975000000064
431,-11,1566.1024999999934,-556.3475000000064
432,-16,2532.1024999999936,-551.8975000000064
433,-26,4462.102499999994,-546.797500000006
434,-26,4462.102499999994,-553.297500000007
435,-26,4462.102499999994,-537.6975000000066
436,-6,614.1024999999929,-540.5975000000069
437,-6,614.1024999999929,-539.997500000007
438,4,-1308.897500000007,-537.2975000000071
439,4,-1308.897500000007,-537.2975000000071
440,4,-1308.897500000007,-539.697500000007
441,-24,4075.502499999994,-534.8975000000055
442,-26,4460.502499999995,-537.997500000005
443,-48,8693.302499999993,-539.4975000000086
444,-48,8693.302499999993,-539.4975000000068
