time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_fraction,train/loss
25,1,18,1,,,,,,,,,,
50,2,17,2,-10.146385097503662,30.785690307617188,10,-0.07929812869429612,0.2,0.026287189,0.0003,-0.1272282600402832,0.19599999561905862,13.708969116210938
75,3,18,4,-10.129384803771973,64.97111167907715,20,-0.04197432155441518,0.2,0.011119585,0.0003,-0.000638127326965332,0.05999999865889549,29.486312866210938
100,4,18,5,-10.119660091400146,9.165304183959961,30,-0.06727686876431135,0.2,0.020295057,0.0003,0.2603796124458313,0.09599999561905861,3.8357436656951904
125,5,18,6,-10.113737010955811,15.367266178131104,40,-0.058941132958978404,0.2,0.016854068,0.0003,-0.9086062908172607,0.07599999830126762,7.422242164611816
150,6,18,8,-10.069733428955079,80.6629409790039,50,-0.019708381901029526,0.2,0.0063862917,0.0003,-0.1620779037475586,0.011999999731779098,38.14766311645508
175,7,18,9,-10.042781734466553,26.483038330078124,60,-0.08082650981470944,0.2,0.034034915,0.0003,-5.913449287414551,0.17599999755620957,12.194209098815918
200,8,18,10,-9.94545545578003,51.39592170715332,70,-0.027540545873344514,0.2,0.010578937,0.0003,0.007258355617523193,0.043999999016523364,25.74207878112793
225,9,18,12,-9.960436820983887,10.908096504211425,80,-0.09068732140958317,0.2,0.056603976,0.0003,0.11304116249084473,0.2679999902844429,5.163280963897705
250,10,18,13,-9.909755516052247,33.64954452514648,90,-0.04455641994252772,0.2,0.01619596,0.0003,-0.3107234239578247,0.08799999877810478,16.514787673950195
25,1,27,0,-9.83562936782837,65.930810546875,100,-0.028538977511227158,0.2,0.0064430735,0.0003,-0.03969109058380127,0.011999999731779098,31.260372161865234
50,2,25,1,-9.914817428588867,49.076758193969724,110,-0.010020691125420455,0.2,0.00080855365,0.0003,0.09869211912155151,0.0,24.375539779663086
75,3,24,3,-9.841708087921143,29.788845252990722,120,-0.018689470710698687,0.2,0.0022282456,0.0003,-0.012510418891906738,0.0,13.72103214263916
100,4,22,4,-9.840582180023194,56.214389419555665,130,-0.01614539485098785,0.2,0.002532327,0.0003,-0.008894920349121094,0.0,25.965084075927734
125,5,22,5,-9.843744087219239,73.17856292724609,140,-0.006438096102443502,0.2,0.0017323135,0.0003,-0.006789565086364746,0.0,33.878013610839844
150,6,21,7,-9.833483695983887,26.53824939727783,150,-0.08672734901681593,0.2,0.03985876,0.0003,0.01848965883255005,0.22399999350309371,12.808321952819824
175,7,20,8,-9.894857025146484,24.13297882080078,160,-0.04704855583608136,0.2,0.01371365,0.0003,-0.12905967235565186,0.06799999773502349,10.569875717163086
200,8,20,9,-9.890233516693115,53.87082977294922,170,-0.03052834062185141,0.2,0.0070981956,0.0003,-0.01634037494659424,0.011999999731779098,23.763092041015625
225,9,19,11,-9.882693099975587,33.23467864990234,180,-0.04797068283893182,0.2,0.017202027,0.0003,0.004092216491699219,0.08399999812245369,14.226656913757324
250,10,19,12,-9.874670886993409,28.316328620910646,190,-0.0340315319150676,0.2,0.011696813,0.0003,-0.11597907543182373,0.03599999919533729,12.172589302062988
