time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/value_loss,train/loss,train/learning_rate,train/explained_variance,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/n_updates
25,1,17,1,,,,,,,,,,
50,2,18,2,0.24799999520182608,0.036323905,23.447924613952637,11.165273666381836,0.0003,-0.0731734037399292,0.2,-10.144848442077636,-0.09700616223365159,10
75,3,19,3,0.06399999856948853,0.014916415,33.44787712097168,15.433349609375,0.0003,0.365114688873291,0.2,-10.118966102600098,-0.0530972757805138,20
100,5,19,4,0.10799999684095382,0.020490779,22.287294006347658,10.811755180358887,0.0003,-0.002869725227355957,0.2,-10.092844200134277,-0.06583370980992917,30
125,6,19,5,0.17199999541044236,0.029863741,21.929096031188966,10.694443702697754,0.0003,0.08680123090744019,0.2,-10.079515075683593,-0.06797615640982979,40
150,7,19,6,0.015999999642372132,0.0052574514,53.96285057067871,24.809476852416992,0.0003,0.0007181763648986816,0.2,-10.003443431854247,0.003730840810109015,50
175,9,18,7,0.1639999955892563,0.033208795,14.133542442321778,6.585560321807861,0.0003,-0.17288315296173096,0.2,-9.964426040649414,-0.06881825063377604,60
200,10,18,8,0.07599999830126762,0.012281181,46.24090805053711,23.019758224487305,0.0003,0.11358755826950073,0.2,-9.890524864196777,-0.02126503633754311,70
225,12,18,9,0.007999999821186066,0.0034892128,75.34355545043945,35.94396209716797,0.0003,-0.0004024505615234375,0.2,-9.860862827301025,-0.019126651750877955,80
250,14,17,10,0.1719999983906746,0.03507265,26.59118232727051,12.851590156555176,0.0003,0.01549220085144043,0.2,-9.805555057525634,-0.07717573446407897,90
25,0,26,1,0.26799999698996546,0.050669536,2.621245265007019,1.1193212270736694,0.0003,0.33154672384262085,0.2,-9.76588945388794,-0.07991012843325755,100
50,2,23,2,0.23999999538064004,0.036986344,12.853021621704102,6.116451740264893,0.0003,-0.3477180004119873,0.2,-9.728099632263184,-0.05653964304551451,110
75,3,23,3,0.05599999874830246,0.011795973,32.9771785736084,16.174970626831055,0.0003,0.3451794981956482,0.2,-9.667187309265136,-0.04000435199774728,120
100,4,22,4,0.0,0.0024706721,85.28961563110352,40.254554748535156,0.0003,0.015214681625366211,0.2,-9.677450942993165,-0.018515146944671913,130
125,5,21,5,0.0,0.0010332752,43.02229385375976,21.4175968170166,0.0003,0.010679662227630615,0.2,-9.676785850524903,-0.013569165879394518,140
