,reward,executed_asks,executed_bids,current_ask_price,current_bid_price
0,0.0,0,0,0.0,0.0
1,0.0,0,0,201.6,199.70000000000002
2,-0.07,7,0,200.4,199.7
3,-0.1,13,10,200.6,200.6
4,-0.1,0,0,201.2,200.5
5,-0.1,0,0,201.1,200.39999999999998
6,1.3400000000000545,12,12,200.8,200.2
7,-0.1,0,0,201.1,199.3
8,-0.1,0,0,201.29999999999998,199.5
9,-0.04,0,14,201.1,200.6
10,-0.34,0,30,201.29999999999998,200.9
11,-0.44,0,10,202.0,201.20000000000002
12,-0.44,0,0,201.1,200.20000000000002
13,-0.29,15,0,200.9,200.6
14,-0.41,70,0,200.4,199.9
15,-0.53,12,0,200.9,200.4
16,-0.93,40,0,200.70000000000002,199.8
17,-1.0,7,0,200.8,199.8
18,-1.0,0,0,201.5,200.6
19,-1.0,0,0,201.5,200.20000000000002
20,-1.0,0,0,200.9,199.9
21,-1.0,0,0,202.0,200.4
22,-1.0,0,0,201.1,201.5
23,-0.54,0,46,202.4,201.8
24,-0.6,6,0,203.29999999999998,201.20000000000002
25,-1.1000000000000454,40,10,203.29999999999998,203.4
26,0.5300000000000203,10,9,203.5,202.7
27,-0.91,0,0,204.7,203.0
28,-0.91,0,0,205.1,202.9
29,-0.81,0,10,204.70000000000002,203.9
30,-0.5,19,50,204.8,204.8
31,-0.49,0,1,205.0,204.4
32,-0.93,44,0,204.6,204.1
33,-1.0,7,0,204.4,203.79999999999998
34,-0.67,0,33,204.0,203.9
35,-0.67,0,0,206.4,204.1
36,-0.67,0,0,206.6,203.6
37,-0.75,8,0,205.9,203.6
38,-1.0299999999999716,25,47,205.8,205.9
39,-0.17,0,70,206.7,206.3
40,-4.470000000000102,30,40,206.2,206.9
41,-0.37,0,10,207.2,205.9
42,-0.27,10,0,206.20000000000002,205.5
43,-0.32999999999999774,2,24,206.9,206.5
44,-0.49,0,0,207.1,205.79999999999998
45,-0.49,0,0,207.1,205.8
46,-0.34,15,0,206.6,205.6
47,-0.29,5,0,205.9,205.5
48,-0.29,0,0,206.8,204.7
49,-0.23,6,0,206.3,204.4
50,1.14,7,10,205.5,204.5
51,0.71,10,13,204.9,204.4
52,-1.1199999999999546,40,43,204.5,204.6
53,0.29000000000000004,16,5,204.6,204.1
54,1.1,14,13,204.9,204.4
55,-0.2,0,0,205.9,203.8
56,-0.2,0,0,206.1,203.9
57,-0.2,0,0,205.0,203.2
58,-0.1,10,0,205.20000000000002,203.6
59,0.02999999999999886,1,10,205.2,204.1
60,-0.2800000000000079,7,30,204.7,204.6
61,1.5700000000000092,8,33,205.5,204.1
62,-0.88,0,21,206.2,205.2
63,-0.88,0,0,206.4,205.10000000000002
64,-1.0,0,12,205.20000000000002,205.60000000000002
65,-0.95,5,0,206.0,204.7
66,-1.0,0,5,206.0,205.1
67,-1.0,0,0,206.2,204.2
68,-1.0,0,0,205.4,202.9
69,-1.0,0,0,204.1,202.60000000000002
70,-1.0,0,0,204.7,202.9
71,-0.7,30,0,202.7,203.29999999999998
72,0.3100000000000136,11,6,203.20000000000002,202.4
73,-0.6,5,0,203.2,202.3
74,-0.49,11,0,202.79999999999998,202.3
75,-0.33,16,0,202.70000000000002,202.0
76,-0.33,0,0,202.9,201.5
77,-0.37,70,0,202.0,202.0
78,-0.67,30,0,202.2,201.8
79,-0.47,0,20,203.4,202.8
80,-6.65999999999994,53,70,202.20000000000002,202.8
81,-1.2000000000001023,30,60,202.29999999999998,202.5
82,-0.1,10,0,203.0,201.9
83,-0.1,0,0,202.9,201.79999999999998
84,-0.04,0,6,203.20000000000002,202.1
85,-0.04,0,0,203.79999999999998,201.4
86,-0.04,0,0,203.79999999999998,201.8
87,-0.06,0,10,203.4,203.0
88,-3.2100000000000453,45,40,202.9,203.3
89,-0.11,0,10,202.70000000000002,203.3
90,-0.06,5,0,202.79999999999998,201.5
91,-0.06,0,0,203.8,202.0
92,0.060000000000002274,2,6,202.9,202.5
93,1.0099999999999942,6,5,203.4,202.3
94,-0.01,8,0,203.1,201.9
95,2.739999999999972,25,50,203.5,202.9
96,-0.66,0,40,204.1,203.3
97,-0.91,0,25,203.9,203.0
98,-1.0,0,9,204.0,202.7
99,-0.81,19,0,202.9,201.9
100,-0.81,0,0,202.6,200.79999999999998
101,-0.91,0,10,203.29999999999998,202.1
102,-0.7200000000000102,10,9,201.5,201.4
103,-0.83,7,0,201.4,201.0
104,-2.1299999999999772,20,10,201.0,201.7
105,-0.73,0,0,202.39999999999998,200.79999999999998
106,-0.75,0,2,202.8,201.3
107,-0.56,19,0,201.70000000000002,200.6
108,-0.61,0,5,202.4,201.5
109,-0.4700000000002217,53,39,201.79999999999998,201.8
110,-1.1399999999999546,23,10,201.60000000000002,202.0
111,-1.2699999999999545,40,53,200.9,201.0
112,-0.67,0,20,201.6,201.4
113,-0.97,0,30,202.3,201.4
114,-1.3199999999999932,10,3,200.8,201.5
115,-0.85,5,0,201.3,200.60000000000002
116,-0.5100000000000853,49,15,200.7,200.70000000000002
117,-1.3000000000001364,30,49,200.79999999999998,200.9
118,-0.7,0,0,201.8,200.39999999999998
119,-0.29999999999982946,70,30,200.70000000000002,200.7
120,-0.3,0,0,201.5,200.29999999999998
121,-0.36,0,6,200.4,200.20000000000002
122,-0.6600000000000341,20,10,200.6,200.8
123,-1.0,0,74,200.9,200.5
124,-1.0,0,0,200.70000000000002,199.39999999999998
125,-0.92,8,0,200.2,200.0
126,-1.020000000000027,30,8,199.79999999999998,200.0
127,-0.7,30,30,200.10000000000002,200.10000000000002
128,-0.1,80,0,199.5,199.60000000000002
129,-0.2,0,30,199.6,200.2
130,-0.35,0,15,200.60000000000002,200.20000000000002
131,-0.35,0,0,201.3,199.6
132,-0.15,50,0,200.0,199.2
133,-0.15,0,0,201.3,199.5
134,-0.15,0,0,201.3,199.9
135,-0.05,0,20,201.1,200.5
136,-0.85,90,0,200.1,199.7
137,-0.85,0,0,201.7,200.1
138,-1.0,15,0,200.39999999999998,199.9
139,-1.0,0,0,200.79999999999998,199.4
140,-1.0,0,0,200.4,199.29999999999998
141,-0.82,0,18,200.6,200.39999999999998
142,-0.67,0,15,201.7,200.20000000000002
143,-0.6699999999999886,10,30,200.6,200.7
