time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_range,train/explained_variance,train/n_updates,train/clip_fraction,train/loss,train/entropy_loss
25,1,16,1,,,,,,,,,,
50,2,18,2,39.27911376953125,-0.075371721573174,0.025951875,0.0003,0.2,-0.24143779277801514,10,0.19599999189376832,18.935829162597656,-10.146581172943115
75,3,17,4,70.01966781616211,-0.044250649508088456,0.011543965,0.0003,0.2,-0.002152681350708008,20,0.019999998807907104,32.93288040161133,-10.127010440826416
100,4,18,5,23.102849769592286,-0.05563645133189858,0.0208628,0.0003,0.2,0.17703914642333984,30,0.1039999969303608,10.871444702148438,-10.108472347259521
125,5,19,6,34.346259689331056,-0.06358038720488554,0.019385237,0.0003,0.2,-0.22311627864837646,40,0.0879999965429306,16.436473846435547,-10.097008895874023
150,6,19,7,16.35165319442749,-0.06373833939433098,0.029976692,0.0003,0.2,-0.12958765029907227,50,0.16799999624490738,7.984841823577881,-10.050193786621094
175,7,19,9,10.791973495483399,-0.06235644341632707,0.03937818,0.0003,0.2,0.08112090826034546,60,0.2319999948143959,4.852304935455322,-9.997624683380128
200,8,19,10,59.07439918518067,-0.030772313934750883,0.011545394,0.0003,0.2,0.0003178119659423828,70,0.06399999782443047,29.41591453552246,-9.961576843261719
225,9,18,12,27.32205696105957,-0.045576348435133696,0.014256117,0.0003,0.2,0.012466669082641602,80,0.07199999913573266,13.033132553100586,-9.952729988098145
250,10,18,13,23.927169227600096,-0.05870112363062816,0.025747446,0.0003,0.2,0.3985878825187683,90,0.12799999639391899,11.739039421081543,-9.922493934631348
25,1,24,1,30.274286651611327,-0.007421527476981282,0.0056186197,0.0003,0.2,-35.08293914794922,100,0.0,14.051714897155762,-9.896976089477539
50,2,20,2,36.28139038085938,-0.03465508229006069,0.008091104,0.0003,0.2,-2.0653183460235596,110,0.031999999284744264,16.68622398376465,-9.924370861053466
75,3,17,4,76.24996719360351,-0.062531325716526,0.018681573,0.0003,0.2,-0.7375973463058472,120,0.10399999767541886,37.6243782043457,-9.909138298034668
100,4,16,5,35.73840522766113,-0.06945656952075722,0.042219743,0.0003,0.2,0.5831600725650787,130,0.17999999821186066,17.574926376342773,-9.874289321899415
125,5,16,7,26.62225685119629,-0.06458644755557189,0.030209543,0.0003,0.2,-0.09283781051635742,140,0.16399999409914018,12.92458724975586,-9.906457042694091
150,6,16,9,98.57756652832032,-0.0143899485194126,0.0076060006,0.0003,0.2,-0.1342778205871582,150,0.03599999919533729,48.99540328979492,-9.747682857513428
175,7,16,10,40.71671829223633,-0.01062516517588108,0.0018615555,0.0003,0.2,0.11804300546646118,160,0.0,19.96123504638672,-9.716476345062256
200,8,16,12,57.253361511230466,-0.00930686477641558,0.00131886,0.0003,0.2,0.038350820541381836,170,0.0,27.03040313720703,-9.643807983398437
225,9,16,13,48.59909782409668,-0.007982069811245652,0.0007977557,0.0003,0.2,-0.011513352394104004,180,0.0,22.525100708007812,-9.66038875579834
250,10,16,15,59.78060531616211,-0.008206092620035577,0.00089619873,0.0003,0.2,0.10963165760040283,190,0.0,30.117050170898438,-9.707994651794433
25,1,22,1,26.685737991333006,-0.012916958083398456,0.0014600897,0.0003,0.2,0.01527714729309082,200,0.0,12.364330291748047,-9.709399890899657
50,2,21,2,18.22111282348633,-0.03424756247457168,0.0072690914,0.0003,0.2,-0.34880638122558594,210,0.019999999552965164,8.461050033569336,-9.874023532867431
75,3,21,3,16.124077796936035,-0.034207449402660475,0.010412077,0.0003,0.2,-0.04271519184112549,220,0.02799999937415123,7.813597202301025,-9.781634712219239
100,4,20,4,52.91657066345215,-0.05893081810232274,0.021743426,0.0003,0.2,-0.5388994216918945,230,0.09199999719858169,25.659948348999023,-9.703891277313232
125,5,19,6,46.81446075439453,-0.030242769056931705,0.008702561,0.0003,0.2,0.004763126373291016,240,0.02799999937415123,22.501073837280273,-9.717369079589844
150,6,19,7,1.5578375458717346,-0.06540262497588997,0.03395147,0.0003,0.2,-0.28805220127105713,250,0.15599999725818633,0.5882203578948975,-9.726924324035645
175,7,19,9,26.307478141784667,-0.040968485629186,0.012630522,0.0003,0.2,-0.7536888122558594,260,0.03200000002980232,12.614551544189453,-9.644289875030518
200,8,19,10,9.659657955169678,-0.03188030329067289,0.008725026,0.0003,0.2,-0.1143333911895752,270,0.0319999985396862,4.614654541015625,-9.648908329010009
225,9,18,11,11.584422397613526,-0.07623076676949872,0.040430907,0.0003,0.2,0.36611294746398926,280,0.19199999645352364,5.178207874298096,-9.505819511413574
250,10,18,13,43.21623268127441,-0.0031987454143816763,0.0069658924,0.0003,0.2,-0.12005674839019775,290,0.023999999463558196,20.36064910888672,-9.373041439056397
25,1,24,1,56.98310470581055,-0.0079791530403309,0.0014501094,0.0003,0.2,-0.02507758140563965,300,0.0,26.492219924926758,-9.354636478424073
50,2,23,2,4.954075050354004,-0.0999421728551388,0.08282854,0.0003,0.2,-0.3329918384552002,310,0.39599998816847803,2.1524288654327393,-9.426232242584229
75,3,21,3,41.98825912475586,-0.046932019049301485,0.02777044,0.0003,0.2,-0.08638477325439453,320,0.13199999630451204,19.048046112060547,-9.281144046783448
100,4,20,4,51.042786026000975,-0.005688580791815312,0.0071454262,0.0003,0.2,0.030670344829559326,330,0.015999999642372132,22.66924476623535,-9.158138847351074
125,5,20,6,14.306445407867432,-0.02694764012284523,0.0066054678,0.0003,0.2,-0.017372488975524902,340,0.019999999552965164,6.063182353973389,-9.135050106048585
150,6,20,7,25.31428623199463,-0.05120315797999488,0.014658875,0.0003,0.2,-0.022590279579162598,350,0.05999999716877937,12.221062660217285,-9.089571857452393
175,7,19,9,81.1449577331543,-0.021044960044324768,0.0025339555,0.0003,0.2,-6.261900424957275,360,0.0,37.31009292602539,-8.975540828704833
200,8,18,10,6.73317141532898,-0.050753976640291396,0.019707683,0.0003,0.2,-0.75971519947052,370,0.08399999886751175,2.9666454792022705,-9.135833263397217
225,9,18,11,40.2873779296875,0.0018708333671085598,0.0037787366,0.0003,0.2,-0.08199083805084229,380,0.003999999910593033,19.653425216674805,-9.201097774505616
250,10,17,13,11.13503999710083,-0.049902341234498236,0.014444816,0.0003,0.2,0.009430468082427979,390,0.0439999982714653,4.996894359588623,-9.069860935211182
25,1,23,1,11.158902740478515,-0.06412481526285418,0.028093781,0.0003,0.2,0.6498908400535583,400,0.13999999314546585,4.911372661590576,-8.902148723602295
50,2,21,2,22.33314781188965,-0.05637620574608419,0.028488196,0.0003,0.2,0.22050732374191284,410,0.14399999678134917,10.909364700317383,-8.902636814117432
75,3,20,3,19.902072525024415,-0.0182296356474982,0.0053195716,0.0003,0.2,-6.465867042541504,420,0.003999999910593033,9.496536254882812,-8.629434871673585
100,4,20,4,54.46957893371582,-0.011317562623879951,0.0010687232,0.0003,0.2,-0.3221006393432617,430,0.0,25.383501052856445,-8.802470684051514
125,5,18,6,13.77432165145874,-0.059184600044041955,0.023171961,0.0003,0.2,-0.17855823040008545,440,0.11599999964237213,6.3409223556518555,-8.753274917602539
150,6,17,8,48.86705551147461,-0.010296694235876203,0.004565823,0.0003,0.2,-13.177779197692871,450,0.011999999731779098,22.674835205078125,-8.577549457550049
175,7,17,10,5.6577941417694095,-0.06901449253410093,0.03221357,0.0003,0.2,-0.36708569526672363,460,0.12799999639391899,2.4653491973876953,-8.926255702972412
200,8,16,11,1.0906467258930206,-0.07954440237209184,0.075567394,0.0003,0.2,-7.0817975997924805,470,0.31999998688697817,0.15824908018112183,-8.617707633972168
225,9,16,13,21.896244621276857,0.011445302315056693,0.004267821,0.0003,0.2,-0.519716739654541,480,0.007999999821186066,10.932273864746094,-8.698666858673096
250,10,16,14,69.11888275146484,-0.030269088922068477,0.0060043335,0.0003,0.2,-0.11866116523742676,490,0.003999999910593033,33.15243148803711,-8.254045677185058
25,1,28,0,39.35174026489258,-0.011707489427180917,0.0028192042,0.0003,0.2,0.04138827323913574,500,0.0,17.82747459411621,-7.953997278213501
50,2,26,1,34.27830467224121,-0.020889351767488053,0.002677431,0.0003,0.2,0.14486902952194214,510,0.0,16.59625816345215,-8.765477752685547
75,3,24,3,1.2627710402011871,-0.0696203839685765,0.038965903,0.0003,0.2,-6.231998920440674,520,0.2079999938607216,0.25596705079078674,-8.72237424850464
100,4,23,4,14.201530361175537,-0.06338338380493269,0.035284277,0.0003,0.2,-0.20421075820922852,530,0.16799999475479127,6.353855133056641,-8.229211521148681
125,5,22,5,13.389250183105469,-0.0053163071488960155,0.0059524104,0.0003,0.2,0.10802578926086426,540,0.011999999731779098,5.770285606384277,-8.710124492645264
150,6,21,6,7.312876224517822,-0.06926119057275351,0.030501416,0.0003,0.2,0.10459637641906738,550,0.13199999630451204,3.016892194747925,-8.526605701446533
175,7,20,8,8.964915466308593,-0.07132824558019664,0.04858966,0.0003,0.2,-1.1320407390594482,560,0.23599999472498895,3.616854190826416,-8.513144874572754
200,8,20,9,20.07349262237549,-0.0009303059969099081,0.0035508345,0.0003,0.2,-0.13654518127441406,570,0.0,8.773758888244629,-7.934881162643433
225,9,19,11,14.080152988433838,-0.04059293852187693,0.008757775,0.0003,0.2,-0.5684843063354492,580,0.02799999862909317,6.318650245666504,-8.292918395996093
250,10,19,13,12.085038757324218,-0.039702186265960296,0.010669253,0.0003,0.2,0.033990442752838135,590,0.03999999910593033,5.43207311630249,-7.856204986572266
25,1,24,1,5.045263290405273,-0.052278917629271685,0.032648817,0.0003,0.2,-0.1439225673675537,600,0.14399999305605887,2.3674490451812744,-8.325429534912109
50,2,21,2,10.131850337982177,-0.02544840076426027,0.014041256,0.0003,0.2,-0.20332491397857666,610,0.07199999764561653,4.699870586395264,-7.6811951160430905
75,3,20,3,3.2837747812271116,-0.0294441527379675,0.0076839756,0.0003,0.2,-0.1025991439819336,620,0.023999999463558196,1.5051151514053345,-8.13874044418335
100,4,20,4,26.04229869842529,-0.008815020793117157,0.0019601893,0.0003,0.2,0.35181063413619995,630,0.0,10.851805686950684,-8.07109432220459
125,5,20,5,24.871946144104005,-0.007903048283420411,0.0006526232,0.0003,0.2,-2.746843099594116,640,0.0,9.918275833129883,-8.507717037200928
150,6,20,7,84.47219772338867,-0.006938869903912348,0.0005991602,0.0003,0.2,0.3428914546966553,650,0.0,40.51658630371094,-8.396903038024902
175,7,19,8,46.21991806030273,-0.022570866168011072,0.003315413,0.0003,0.2,-0.07078659534454346,660,0.0,21.619789123535156,-8.735416889190674
200,8,19,10,5.188538885116577,-0.07679010342061518,0.04345097,0.0003,0.2,-0.35508787631988525,670,0.21199999675154685,2.2244794368743896,-8.050925016403198
225,9,19,11,24.441264724731447,-0.05828783520683665,0.0328774,0.0003,0.2,0.0030243396759033203,680,0.19599999561905862,11.311503410339355,-8.481795024871825
250,10,18,13,8.211429166793824,-0.06744077433459453,0.04264427,0.0003,0.2,-0.36581695079803467,690,0.1799999937415123,3.4468514919281006,-8.700138759613036
25,1,20,1,4.389468622207642,-0.07469130134955045,0.06659071,0.0003,0.2,0.027547895908355713,700,0.2839999973773956,1.9111621379852295,-8.3662823677063
50,2,20,2,4.309415006637574,-0.08281675655394878,0.055331323,0.0003,0.2,-0.06922173500061035,710,0.22399999275803567,1.6657311916351318,-8.980364418029785
75,3,20,3,33.35036907196045,-0.03451145303808119,0.019961292,0.0003,0.2,-0.01734745502471924,720,0.09199999719858169,15.543628692626953,-8.390851593017578
100,4,20,4,59.457223129272464,-0.04066626575007106,0.013359668,0.0003,0.2,-0.003010392189025879,730,0.0439999982714653,28.244937896728516,-8.264525508880615
125,5,20,6,20.82519989013672,-0.056407092519104654,0.027266629,0.0003,0.2,-0.012152433395385742,740,0.11999999433755874,9.52175521850586,-8.247590732574462
150,6,20,7,60.08603363037109,-0.003562249499140435,0.005129766,0.0003,0.2,0.2151576280593872,750,0.031999999284744264,26.073965072631836,-7.587902498245239
175,7,20,8,30.779624366760252,-6.201386510014117e-05,0.0003365135,0.0003,0.2,-6.591856956481934,760,0.0,10.664057731628418,-7.6741656303405765
200,8,19,10,34.776956939697264,-0.05138334686867978,0.018268432,0.0003,0.2,-0.11225569248199463,770,0.07599999830126762,16.74578285217285,-8.002808713912964
225,9,18,12,44.81579055786133,-0.034058016767725977,0.012187502,0.0003,0.2,-0.014664769172668457,780,0.059999997913837436,21.51618003845215,-8.138411521911621
250,10,17,13,8.271806812286377,-0.07975165242329182,0.08096304,0.0003,0.2,0.1308518648147583,790,0.35599999204277993,3.9151594638824463,-7.955316066741943
