time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/n_updates,train/learning_rate,train/entropy_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/loss,train/value_loss
1,1,16,25,,,,,,,,,,
2,3,16,50,10,0.0003,-10.146580410003661,0.2119999945163727,-0.24295592308044434,0.2,0.026691347,-0.08931278361380138,6.478374004364014,13.763650798797608
3,4,17,75,20,0.0003,-10.126710605621337,0.023999999463558196,0.0007461905479431152,0.2,0.007850399,-0.0353319374695424,16.327045440673828,33.97663841247559
4,5,18,100,30,0.0003,-10.110051250457763,0.05999999865889549,-0.05545163154602051,0.2,0.012889413,-0.04614970783703143,3.118568181991577,7.574772024154663
5,6,18,125,40,0.0003,-10.080079078674316,0.05199999883770943,-0.9242602586746216,0.2,0.012763207,-0.04171267844550286,9.840842247009277,19.98848648071289
6,8,18,150,50,0.0003,-10.067098331451415,0.07199999913573266,-0.06424844264984131,0.2,0.015884232,-0.043815991051727995,13.864481925964355,28.660313034057616
7,9,18,175,60,0.0003,-10.057243728637696,0.023999998718500136,-0.4778010845184326,0.2,0.008654761,-0.03324688604474071,9.870373725891113,21.266599273681642
8,11,17,200,70,0.0003,-10.029154777526855,0.011999999731779098,-0.0009137392044067383,0.2,0.006111865,-0.030518445713445884,23.589296340942383,47.35435066223145
9,12,17,225,80,0.0003,-10.022590160369873,0.0,-0.07690179347991943,0.2,0.0033856535,-0.015975846881047317,20.491323471069336,43.1712028503418
10,14,17,250,90,0.0003,-10.0048752784729,0.003999999910593033,0.012757718563079834,0.2,0.004457061,-0.02453372260741915,26.65792465209961,53.72669639587402
1,1,24,25,100,0.0003,-10.036123180389405,0.043999999016523364,0.013932406902313232,0.2,0.011841345,-0.04324275435972922,18.31263542175293,38.406009674072266
2,2,23,50,110,0.0003,-9.953139495849609,0.047999998182058336,0.01365739107131958,0.2,0.011217573,-0.04315539751295035,17.751405715942383,35.97175521850586
3,3,22,75,120,0.0003,-9.870936107635497,0.031999999284744264,-0.1788100004196167,0.2,0.0087723015,-0.03777768696937685,21.075674057006836,44.31363716125488
4,4,21,100,130,0.0003,-9.863145351409912,0.031999999284744264,-0.018984198570251465,0.2,0.0107566165,-0.04168255335139115,12.218856811523438,24.73206615447998
5,5,21,125,140,0.0003,-9.873883914947509,0.23199999555945397,0.03917735815048218,0.2,0.038448818,-0.07512947329133723,15.719738960266113,32.130110359191896
6,7,20,150,150,0.0003,-9.883020401000977,0.031999999284744264,0.04707688093185425,0.2,0.010149236,-0.0404898432325572,21.51805877685547,45.15350189208984
7,8,19,175,160,0.0003,-9.907307529449463,0.019999999552965164,-0.0605090856552124,0.2,0.007241349,-0.03770787747018005,11.174556732177734,22.65517654418945
8,10,19,200,170,0.0003,-9.866844844818115,0.0,-0.6011717319488525,0.2,0.004044199,-0.019762443937943887,7.2736029624938965,15.504906272888183
9,11,19,225,180,0.0003,-9.882996940612793,0.08799999803304673,0.04233372211456299,0.2,0.019508278,-0.049510838024318285,41.97463607788086,84.96515045166015
10,13,18,250,190,0.0003,-9.86944808959961,0.003999999910593033,0.058251798152923584,0.2,0.0048885345,-0.021467127684036313,14.38127326965332,30.789669609069826
1,0,27,25,200,0.0003,-9.833205127716065,0.0,-0.02940976619720459,0.2,0.0037330484,-0.020506927640177253,15.35717487335205,34.06493625640869
2,2,24,50,210,0.0003,-9.838884258270264,0.0,-0.05032634735107422,0.2,0.001647973,-0.007721552642296103,21.021345138549805,41.62002182006836
3,3,22,75,220,0.0003,-9.796216201782226,0.0,-0.03109276294708252,0.2,0.0011620069,-0.010827923908830427,20.031898498535156,42.7613712310791
4,4,21,100,230,0.0003,-9.82830810546875,0.003999999910593033,-0.0430908203125,0.2,0.007575626,-0.03758815959468507,4.420772075653076,10.157991313934327
