,assets,cash,equity
0,0,1.1025,1.1025
1,-19,3810.602500000001,3.952500000000782
2,-19,3810.602500000001,3.002500000000964
3,-9,1805.6025000000009,0.6525000000008276
4,-9,1805.6025000000009,-0.2474999999992633
5,-9,1797.6025000000013,-9.147499999998672
6,-9,1797.6025000000013,-8.247499999998581
7,-39,7815.602500000001,-5.8474999999998545
8,41,-8232.3975,-9.847499999998035
9,81,-16257.3975,-20.94750000000022
10,90,-18063.5975,-50.09750000000349
11,90,-18063.5975,-54.597499999999854
12,80,-16060.597500000003,-64.59750000000349
13,80,-16058.997500000001,-50.99750000000131
14,58,-11656.7975,-56.79750000000058
15,100,-20065.197500000002,-25.197500000002037
16,100,-20065.197500000002,39.80249999999796
17,100,-20065.197500000002,84.80249999999796
18,75,-15030.197499999998,63.5525000000016
19,45,-8996.797499999997,61.702500000003056
20,25,-4951.397500000002,87.35249999999814
21,25,-4951.397500000002,89.85249999999814
22,23,-4547.797500000002,84.40249999999742
23,23,-4529.797500000004,118.50249999999596
24,23,-4529.797500000004,126.55249999999523
25,54,-10814.497500000005,147.50249999999505
26,54,-10814.497500000005,179.9024999999947
27,44,-8780.297500000004,142.9024999999965
28,6,-1072.8975000000019,143.30249999999796
29,6,-1072.8975000000019,145.10249999999814
30,6,-1072.8975000000019,143.60249999999814
31,20,-3909.4975000000013,147.5024999999987
32,33,-6543.297500000001,163.95249999999942
33,48,-9591.2975,193.5024999999987
34,51,-10201.1975,197.70249999999942
35,51,-10201.1975,220.65250000000015
36,25,-4882.9974999999995,228.2525000000005
37,25,-4882.9974999999995,233.2525000000005
38,15,-2837.9974999999995,233.2525000000005
39,15,-2837.9974999999995,234.0025000000005
40,10,-1786.9974999999984,252.50250000000165
41,10,-1786.9974999999984,258.50250000000165
42,-16,3540.802500000003,264.0025000000028
43,-34,7229.002500000001,269.20250000000215
44,-23,4978.4025,266.85249999999996
45,-53,11118.202500000003,279.70250000000306
46,-53,11118.202500000003,271.7525000000023
47,-53,11118.202500000003,271.7525000000023
48,-23,4989.202500000006,282.25250000000597
49,-49,10321.802500000007,274.35250000000633
50,-49,10321.802500000007,296.4025000000074
51,-33,7054.102500000007,284.15250000000833
52,-21,4598.302500000009,293.3025000000089
53,-12,2760.5025000000096,308.90250000000924
54,-12,2760.5025000000096,299.3025000000098
55,-12,2760.5025000000096,298.10250000000997
56,-8,1942.5025000000096,300.5025000000096
57,-9,2148.1025000000095,311.65250000000947
58,-24,5217.402500000009,319.0025000000087
59,-54,11334.40250000001,310.3025000000107
60,-54,11334.40250000001,296.8025000000107
61,-54,11334.40250000001,304.90250000000924
62,-54,11334.40250000001,310.3025000000107
63,-32,6837.002500000013,296.20250000001306
64,-32,6837.002500000013,291.4025000000129
65,-26,5614.502500000013,309.20250000001306
66,-39,8264.402500000017,286.9525000000158
67,-29,6220.702500000016,285.85250000001633
68,-19,4173.602500000015,289.0525000000157
69,40,-7894.997499999985,285.00250000001506
70,60,-11984.997499999985,255.00250000001506
71,77,-15446.197499999986,281.05250000001433
72,77,-15446.197499999986,265.6525000000147
73,77,-15446.197499999986,234.8525000000118
74,87,-17487.39749999999,247.55250000001251
75,97,-19520.59749999999,223.75250000001324
76,97,-19520.59749999999,223.75250000001324
