time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/approx_kl,train/loss,train/policy_gradient_loss,train/clip_range,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/learning_rate,train/entropy_loss
1,25,1,16,,,,,,,,,,
2,50,2,18,0.022072768,12.72907829284668,-0.07475060636550186,0.2,10,-0.015329599380493164,0.17999999299645425,26.837461280822755,0.0003,-10.145434093475341
3,75,3,19,0.016002288,1.5067296028137207,-0.05889892738871279,0.2,20,0.2184256911277771,0.08399999812245369,3.324046587944031,0.0003,-10.133111000061035
4,100,5,19,0.0075906273,9.324549674987793,-0.031324127372354835,0.2,30,0.46385055780410767,0.031999999284744264,19.70661735534668,0.0003,-10.119765663146973
5,125,6,19,0.0016525363,7.01970911026001,-0.0042330591849751185,0.2,40,-0.8160135746002197,0.0,14.295123100280762,0.0003,-10.110277652740479
6,150,7,19,0.015692398,4.726043701171875,-0.06247420252487057,0.2,50,0.01096433401107788,0.06399999856948853,10.222956085205078,0.0003,-10.103101634979248
7,175,9,19,0.0074369526,6.491828918457031,-0.02992422057315878,0.2,60,0.25175023078918457,0.007999999821186066,13.608913707733155,0.0003,-10.091836071014404
8,200,10,19,0.0019993687,0.9208897352218628,-0.008721518194535705,0.2,70,-0.2051405906677246,0.0,2.589952278137207,0.0003,-10.075594902038574
9,225,11,18,0.0024182461,6.456480026245117,-0.01826157947164031,0.2,80,-0.13424313068389893,0.0,14.49226655960083,0.0003,-10.0664137840271
10,250,13,18,0.005637998,16.431297302246094,-0.029267110694199516,0.2,90,-0.16319167613983154,0.02799999937415123,33.570749282836914,0.0003,-10.063379096984864
1,25,0,27,0.004188447,16.209997177124023,-0.024225307553075125,0.2,100,-0.23027873039245605,0.0,33.4979866027832,0.0003,-10.054927635192872
2,50,1,25,0.0026857376,22.08181381225586,-0.011407902218503274,0.2,110,0.2070257067680359,0.003999999910593033,45.78845710754395,0.0003,-10.05543394088745
3,75,3,23,0.0025999807,22.492074966430664,-0.019396713196067596,0.2,120,-0.44807612895965576,0.0,47.013851928710935,0.0003,-10.05460262298584
4,100,4,21,0.003664167,31.46512794494629,-0.017799965084530456,0.2,130,-0.07672297954559326,0.003999999910593033,67.86319961547852,0.0003,-10.048127937316895
5,125,5,21,0.0038438963,7.969836235046387,-0.0234820755529217,0.2,140,0.07307207584381104,0.0,18.24129295349121,0.0003,-10.03585605621338
6,150,7,21,0.0026257657,25.147674560546875,-0.012527456566691342,0.2,150,-17.487316131591797,0.0,50.01397285461426,0.0003,-10.009440231323243
7,175,8,20,0.0015840267,33.26647186279297,-0.014531763255365603,0.2,160,0.0015822649002075195,0.0,69.90287017822266,0.0003,-9.965534877777099
8,200,10,19,0.05364379,4.2610673904418945,-0.0933820416890084,0.2,170,0.5009872317314148,0.2559999920427799,9.238336086273193,0.0003,-9.953303909301757
9,225,11,19,0.007565374,69.5348129272461,-0.0015053205273574122,0.2,180,-7.57883358001709,0.019999999552965164,138.45777740478516,0.0003,-9.908529949188232
10,250,13,19,0.007196915,17.375755310058594,-0.038268066266552124,0.2,190,-0.012360215187072754,0.019999999552965164,36.52825393676758,0.0003,-9.81643009185791
1,25,0,27,0.0432639,6.709386825561523,-0.07713870862871416,0.2,200,0.5207191407680511,0.20399999246001244,13.733683109283447,0.0003,-9.78824691772461
2,50,2,24,0.036171153,15.633392333984375,-0.0700228059031069,0.2,210,-0.015914201736450195,0.20799999162554741,31.981996726989745,0.0003,-9.732483291625977
3,75,3,23,0.009789488,9.66496467590332,-0.03519997299648878,0.2,220,-0.2471158504486084,0.03999999910593033,20.5168514251709,0.0003,-9.675193500518798
4,100,4,22,0.002780256,8.585291862487793,-0.014485674876254073,0.2,230,-1.0692358016967773,0.003999999910593033,19.763237380981444,0.0003,-9.682866287231445
5,125,5,21,0.0012051081,32.56705093383789,-0.014803136785515392,0.2,240,-3.620150566101074,0.0,69.01170806884765,0.0003,-9.631027603149414
6,150,7,20,0.0004993057,27.165523529052734,-0.006109688617056364,0.2,250,0.11879074573516846,0.0,54.25776138305664,0.0003,-9.534850978851319
7,175,8,19,0.00088745356,28.100858688354492,-0.013161705467151563,0.2,260,0.581547349691391,0.0,57.60553321838379,0.0003,-9.620588970184325
8,200,10,19,0.00041865587,96.58496856689453,-0.0010523204564236721,0.2,270,-0.811339259147644,0.0,196.99412231445314,0.0003,-9.668500423431396
9,225,12,18,0.00026172638,16.9985408782959,-0.005900438326177948,0.2,280,0.0382271409034729,0.0,35.0198558807373,0.0003,-9.541207218170166
10,250,14,17,0.0036760569,2.4980483055114746,-0.026615632762666763,0.2,290,0.31571829319000244,0.0,5.478256130218506,0.0003,-9.687939739227295
1,25,1,22,0.001511557,44.51487731933594,-0.004528432765043533,0.2,300,-0.16233420372009277,0.0,96.19419937133789,0.0003,-9.615594291687012
2,50,2,20,0.0008899307,15.012845993041992,-0.012846906685736315,0.2,310,0.16018766164779663,0.0,32.840671348571775,0.0003,-9.740927028656007
3,75,3,20,0.0046914266,6.392244815826416,-0.026515007120557498,0.2,320,-0.013304591178894043,0.003999999910593033,13.07006025314331,0.0003,-9.567514991760254
4,100,5,19,0.0117624495,7.670654296875,-0.0450389590598661,0.2,330,-2.5697779655456543,0.03999999836087227,16.99305076599121,0.0003,-9.583460807800293
5,125,6,19,0.0034038115,2.563535690307617,-0.008902676801895737,0.2,340,-1.3057835102081299,0.0,6.649972200393677,0.0003,-9.74480390548706
6,150,8,17,0.0011971473,15.538829803466797,-0.009178369881585269,0.2,350,-0.19323062896728516,0.0,36.5266939163208,0.0003,-9.621418476104736
7,175,9,17,0.0002732563,29.85196876525879,-0.006498829883290114,0.2,360,-0.07802700996398926,0.0,60.694268798828126,0.0003,-9.507169342041015
