,assets,cash,equity
0,0,1.1025,1.1025
1,20,-4014.6975,-0.6975000000002183
2,3,-602.7975000000007,-0.9975000000007412
3,3,-602.7975000000007,-0.847500000000764
4,3,-602.7975000000007,-0.09750000000076398
5,-7,1406.2024999999994,3.0524999999995543
6,-7,1406.2024999999994,4.452499999999418
7,-85,17013.3025,13.3025000000016
8,-85,17013.3025,13.3025000000016
9,-70,14013.302500000002,9.8025000000016
10,-30,5996.502500000002,-7.997499999996762
11,-70,13996.902500000004,0.4025000000037835
12,-50,9994.602500000005,-7.897499999995489
13,-66,13197.802500000009,-8.797499999991487
14,-56,11197.80250000001,-10.597499999987122
15,-56,11197.80250000001,-16.197499999989304
16,-100,20002.60250000001,-17.397499999988213
17,-100,20002.60250000001,-12.397499999984575
18,-60,11986.902500000011,-22.09749999998894
19,-48,9589.80250000001,-2.9974999999903957
20,-72,14404.202500000009,-20.997499999990396
21,-92,18408.202500000007,3.602500000004511
22,-70,14008.202500000007,-37.29749999999149
23,-70,14008.202500000007,-40.797499999993306
24,-100,20026.20250000001,-63.79749999998603
25,-100,20026.20250000001,-63.79749999998967
26,-88,17614.20250000001,-144.19749999999112
27,-98,19632.202500000014,-153.99749999998676
28,-96,19230.202500000014,-195.39749999998457
29,-90,18035.40250000001,-293.0974999999853
30,-89,17833.20250000001,-309.4474999999875
31,-79,15798.20250000001,-290.14749999999003
32,-61,12133.402500000011,-325.84749999998894
33,-66,13157.90250000001,-342.39749999999185
34,-64,12750.10250000001,-347.4974999999886
35,-61,12136.902500000011,-365.04749999998785
36,-61,12136.902500000011,-380.29749999998785
37,-24,4533.902500000011,-402.8974999999882
38,-44,8643.902500000011,-406.8974999999882
39,-38,7410.902500000011,-401.8974999999891
40,-70,13990.102500000008,-415.89749999999185
41,-79,15840.702500000007,-385.89749999999185
42,-100,20156.202500000007,-403.79749999999694
43,-100,20156.202500000007,-443.7974999999933
44,-100,20156.202500000007,-413.7974999999933
45,-100,20156.202500000007,-418.7974999999933
46,-79,15830.802500000005,-451.0974999999944
47,-59,11705.202500000005,-451.74749999999585
48,-67,13360.402500000007,-424.8474999999926
49,-84,16857.302500000005,-417.2974999999933
50,-78,15624.902500000002,-415.79749999999876
51,-95,19116.702500000007,-386.7974999999933
52,-95,19116.702500000007,-363.0474999999933
53,-95,19116.702500000007,-372.54749999998967
54,-95,19116.702500000007,-344.0474999999933
55,-67,13377.202500000014,-391.29749999998603
56,-32,6183.902500000009,-400.09749999999076
57,-32,6183.902500000009,-400.09749999999076
58,-49,9684.202500000009,-387.7474999999922
59,-48,9479.002500000008,-382.59749999999076
60,-48,9479.002500000008,-382.59749999999076
61,-48,9479.002500000008,-394.59749999999076
62,-35,6804.902500000007,-401.59749999999167
63,-35,6804.902500000007,-405.0974999999926
64,-26,4951.802500000007,-404.19749999999294
65,-26,4951.802500000007,-402.89749999999276
66,-6,829.8025000000071,-399.29749999999285
67,-13,2264.802500000007,-396.29749999999285
68,17,-3876.197499999993,-397.9974999999931
69,27,-5923.397499999993,-400.5474999999924
70,100,-20873.397499999992,-423.39749999999185
71,100,-20873.397499999992,-428.39749999999185
72,100,-20873.397499999992,-423.39749999999185
73,100,-20873.397499999992,-428.39749999999185
74,80,-16789.197499999995,-433.19749999999476
75,80,-16789.197499999995,-445.19749999999476
76,41,-8832.497499999994,-470.5474999999951
77,51,-10872.497499999994,-476.14749999999367
78,21,-4758.497499999994,-477.64749999999367
79,-11,1766.3025000000057,-476.04749999999467
80,-30,5637.302500000006,-475.19749999999385
81,-50,9709.902500000006,-455.0974999999944
82,-50,9709.902500000006,-455.0974999999944
83,-50,9709.902500000006,-447.5974999999926
84,-60,11740.902500000006,-448.0974999999926
85,-60,11740.902500000006,-448.0974999999926
86,-60,11740.902500000006,-448.0974999999926
87,-60,11740.902500000006,-448.0974999999926
88,-60,11740.902500000006,-448.0974999999926
89,-60,11740.902500000006,-442.0974999999944
90,-44,8492.902500000006,-441.2974999999951
91,-44,8492.902500000006,-441.2974999999951
92,-44,8492.902500000006,-441.2974999999951
93,16,-3693.0974999999935,-444.2974999999933
94,16,-3693.0974999999935,-445.89749999999367
95,-64,12538.902500000007,-440.2974999999933
96,-58,11325.10250000001,-416.9974999999886
97,-58,11325.10250000001,-393.7974999999915
98,-58,11325.10250000001,-396.6974999999893
99,-42,8088.902500000009,-399.29749999998967
100,-42,8088.902500000009,-392.9974999999904
101,-58,11320.90250000001,-360.2974999999915
102,-38,7287.6025000000045,-367.49749999999494
103,-38,7287.6025000000045,-371.29749999999603
104,-54,10513.202500000005,-370.49749999999585
105,-54,10513.202500000005,-362.39749999999367
106,-54,10513.202500000005,-338.0974999999944
107,-49,9508.202500000005,-353.0474999999951
108,-37,7102.202500000005,-318.1474999999955
109,-64,12512.602500000005,-296.99749999999403
110,-94,18513.202500000007,-282.0974999999926
111,-94,18513.202500000007,-267.99749999999403
112,-100,19711.40250000001,-243.59749999998894
113,-90,17719.40250000001,-222.09749999999258
114,-20,3761.402500000011,-226.5974999999885
115,-32,6150.902500000012,-218.6974999999884
116,-32,6150.902500000012,-221.8974999999873
117,-82,16101.002500000013,-241.59749999998712
118,-85,16700.102500000015,-244.6474999999882
119,-100,19691.102500000023,-238.8974999999773
120,-100,19691.102500000023,-233.8974999999773
121,-100,19691.102500000023,-233.8974999999773
122,-100,19691.102500000023,-243.8974999999773
123,-100,19691.102500000023,-243.89749999998094
124,-100,19691.102500000023,-253.8974999999773
125,-100,19691.102500000023,-213.8974999999773
126,-79,15504.602500000023,-275.6474999999773
127,-9,1518.6025000000227,-277.79749999997716
128,-9,1518.6025000000227,-278.2474999999772
129,-49,9496.202500000021,-293.9974999999795
130,-49,9496.202500000021,-298.8974999999791
131,-86,16881.60250000002,-339.89749999998094
132,-80,15682.80250000002,-313.1974999999802
133,-80,15682.80250000002,-309.1974999999802
134,-89,17482.80250000002,-303.84749999998166
135,-100,19681.702500000018,-313.2974999999824
136,-100,19681.702500000018,-308.29749999997875
