time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/entropy_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/loss,train/value_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/n_updates
1,25,1,18,,,,,,,,,,
2,50,2,20,-10.145979022979736,0.2,0.024304751,0.17999999225139618,52.01225662231445,108.47105407714844,0.009254276752471924,0.0003,-0.08369167709350549,10
3,75,3,21,-10.121734809875488,0.2,0.018590732,0.08799999803304673,36.42269515991211,79.28234024047852,0.003670334815979004,0.0003,-0.06362227986752914,20
4,100,4,21,-10.098524379730225,0.2,0.019825872,0.10799999684095382,13.740819931030273,29.75792007446289,0.4381577968597412,0.0003,-0.05556313597597153,30
5,125,5,21,-10.084217166900634,0.2,0.021472842,0.115999998152256,41.38618087768555,83.68745193481445,-1.1969611644744873,0.0003,-0.061864667195826686,40
6,150,6,21,-10.043886280059814,0.2,0.010173063,0.03999999910593033,42.23004913330078,90.01337661743165,-0.016021370887756348,0.0003,-0.019517746249213985,50
7,175,8,21,-10.030940818786622,0.2,0.0165141,0.06399999931454659,23.530519485473633,50.73744239807129,0.16279375553131104,0.0003,-0.05323302949964983,60
8,200,9,21,-10.008381366729736,0.2,0.032513183,0.1879999928176403,13.414569854736328,27.070347213745116,-0.8319288492202759,0.0003,-0.0729042626358563,70
9,225,10,20,-10.004301834106446,0.2,0.008647225,0.043999999016523364,32.860782623291016,68.74467391967774,-9.908310890197754,0.0003,-0.024583008294925435,80
10,250,12,20,-9.947552490234376,0.2,0.009167185,0.023999999463558196,17.1152400970459,36.59393157958984,-0.16598081588745117,0.0003,-0.041811158610508416,90
1,25,0,28,-9.916161823272706,0.2,0.013326923,0.05199999883770943,29.323396682739258,61.50012969970703,-0.050978660583496094,0.0003,-0.0432547575421637,100
2,50,2,24,-9.893835544586182,0.2,0.014693121,0.047999999672174457,25.2591495513916,53.26917762756348,-9.906665802001953,0.0003,-0.04748206618428234,110
3,75,3,23,-9.835400676727295,0.2,0.03891523,0.20799999609589576,8.34158992767334,17.474238777160643,0.5102275907993317,0.0003,-0.06700786440819506,120
4,100,4,23,-9.774201774597168,0.2,0.01486599,0.07599999830126762,20.189926147460938,43.270622634887694,-0.3602111339569092,0.0003,-0.031830281153321496,130
5,125,5,22,-9.7375244140625,0.2,0.007799818,0.007999999821186066,24.327722549438477,52.39352645874023,0.10934042930603027,0.0003,-0.03493574409280029,140
6,150,6,22,-9.703909873962402,0.2,0.021798661,0.11199999749660491,11.049309730529785,24.775256538391112,-0.1191328763961792,0.0003,-0.04961719538073552,150
7,175,8,21,-9.684266376495362,0.2,0.0056252787,0.0,41.66975021362305,82.27553100585938,-0.06344687938690186,0.0003,-0.0050730007191887696,160
8,200,9,20,-9.626458740234375,0.2,0.0060938927,0.015999999642372132,55.781394958496094,113.2966812133789,0.20016324520111084,0.0003,-0.02502938101254415,170
9,225,10,20,-9.765136528015137,0.2,0.01901093,0.08399999663233756,10.633369445800781,22.908930206298827,0.37626469135284424,0.0003,-0.05842598848976195,180
10,250,12,20,-9.607054901123046,0.2,0.008936052,0.047999998182058336,13.005752563476562,29.319603538513185,-0.46873438358306885,0.0003,-0.015434678697958759,190
1,25,0,29,-9.621358966827392,0.2,0.0038505434,0.0,29.370119094848633,63.91369285583496,-0.15400302410125732,0.0003,-0.021594851633533807,200
2,50,1,26,-9.764234161376953,0.2,0.0034849523,0.003999999910593033,27.96103286743164,59.5221752166748,0.13912338018417358,0.0003,-0.02293624061066595,210
3,75,2,25,-9.563446712493896,0.2,0.016475236,0.07199999764561653,8.87209415435791,19.738134384155273,0.2921120524406433,0.0003,-0.04672158094402405,220
4,100,4,23,-9.361713981628418,0.2,0.0063312673,0.019999999552965164,30.98982048034668,62.02726058959961,0.09083563089370728,0.0003,-0.012224735486786643,230
5,125,5,22,-9.283965682983398,0.2,0.0005945921,0.0,35.548851013183594,76.10372543334961,0.07346177101135254,0.0003,-0.002542655704658614,240
6,150,6,21,-9.224704551696778,0.2,0.001242144,0.0,26.455028533935547,59.18746490478516,0.3390301465988159,0.0003,-0.01408296570414791,250
7,175,8,21,-9.264767360687255,0.2,0.0010028266,0.0,16.436180114746094,37.54792709350586,-0.33160412311553955,0.0003,-0.007924410753359723,260
8,200,9,20,-9.40804672241211,0.2,0.009366644,0.019999999552965164,43.6623649597168,92.82065200805664,-0.009165287017822266,0.0003,-0.039928950980305446,270
9,225,11,20,-9.60057611465454,0.2,0.002349186,0.003999999910593033,39.03972244262695,79.04879913330078,0.00027364492416381836,0.0003,-0.008903746655909118,280
10,250,12,19,-9.566494750976563,0.2,0.0008053565,0.0,41.248226165771484,88.09649810791015,0.049875617027282715,0.0003,-0.007068932884605772,290
1,25,0,26,-9.579422092437744,0.2,0.0028589605,0.0,20.066579818725586,44.63023414611816,-0.17080926895141602,0.0003,-0.02273264120332925,300
2,50,2,23,-9.62189245223999,0.2,0.036491305,0.16399999633431434,3.907136917114258,9.686742782592773,0.164914071559906,0.0003,-0.07097131330147448,310
3,75,3,23,-9.388889694213868,0.2,0.0058487845,0.023999999463558196,56.009437561035156,113.6590362548828,0.365020215511322,0.0003,0.009742928409948882,320
4,100,4,22,-9.413929462432861,0.2,0.0057097506,0.003999999910593033,64.787109375,134.3064971923828,-0.6015329360961914,0.0003,-0.02641159635270185,330
5,125,5,22,-9.522756767272949,0.2,0.006678216,0.007999999821186066,43.88578414916992,90.81961288452149,0.06778371334075928,0.0003,-0.03259537118207665,340
6,150,7,21,-9.242370128631592,0.2,0.0015729666,0.0,63.37539291381836,130.65034408569335,-0.06835019588470459,0.0003,-0.007998411970329045,350
7,175,8,20,-9.51305513381958,0.2,0.017808165,0.07599999904632568,4.950620651245117,11.239716339111329,-0.007264614105224609,0.0003,-0.053361610936001114,360
8,200,9,20,-9.385342788696288,0.2,0.019681364,0.09999999776482582,10.80831527709961,23.642571258544923,0.34224724769592285,0.0003,-0.04540821616817255,370
9,225,11,19,-9.22277898788452,0.2,0.009314236,0.05999999865889549,17.080806732177734,37.508917236328124,-0.320132851600647,0.0003,-0.02120215328410211,380
10,250,12,19,-9.30013313293457,0.2,0.0012296366,0.0,19.400840759277344,42.80027809143066,-0.3557318449020386,0.0003,-0.00471393744385562,390
1,25,0,27,-9.263084983825683,0.2,0.014688828,0.07599999830126762,12.666339874267578,28.812792015075683,0.17267084121704102,0.0003,-0.053058756867423715,400
2,50,1,25,-9.48908519744873,0.2,0.004385619,0.0,7.836568832397461,16.294794845581055,-0.5912214517593384,0.0003,-0.016990470505319877,410
3,75,3,24,-9.473636531829834,0.2,0.001222484,0.0,18.393173217773438,41.793592071533205,-0.03468453884124756,0.0003,-0.01488727154489613,420
4,100,4,23,-9.415489864349365,0.2,0.0012949776,0.0,31.220130920410156,68.81178131103516,-0.3356069326400757,0.0003,-0.006299127062040455,430
5,125,5,22,-9.417864894866943,0.2,0.013680503,0.04399999976158142,6.936124801635742,15.944042015075684,0.12219321727752686,0.0003,-0.037656895942053834,440
6,150,6,21,-9.209956455230714,0.2,0.028839767,0.12399999797344208,8.76653003692627,19.653847694396973,0.25276124477386475,0.0003,-0.05577368505951021,450
7,175,8,21,-8.851598453521728,0.2,0.0063800164,0.003999999910593033,22.761062622070312,47.48228149414062,0.49893516302108765,0.0003,-0.003985636163502804,460
8,200,9,20,-8.644654178619385,0.2,0.0029321073,0.0,22.895343780517578,50.73296585083008,-0.2988487482070923,0.0003,-0.015728459222242464,470
9,225,11,20,-8.958288192749023,0.2,0.15480168,0.5119999788701535,0.09067696332931519,0.5109278529882431,-0.44008874893188477,0.0003,-0.11101073114573942,480
10,250,12,19,-9.205844116210937,0.2,0.03059138,0.1599999964237213,12.952826499938965,27.27359733581543,-0.07090091705322266,0.0003,-0.04152788229286557,490
1,25,0,28,-8.397697257995606,0.2,0.008945522,0.03999999910593033,22.550304412841797,48.56407470703125,-0.0064362287521362305,0.0003,-0.019723174456740367,500
2,50,2,24,-9.008000755310059,0.2,0.017840251,0.07599999904632568,10.075068473815918,22.037174224853516,-0.006987929344177246,0.0003,-0.05619955548085329,510
3,75,3,23,-8.276486492156982,0.2,0.0036100436,0.007999999821186066,33.411895751953125,70.58251876831055,0.015961170196533203,0.0003,-0.0033640844039638297,520
4,100,4,22,-8.302692413330078,0.2,0.014013755,0.0559999980032444,18.12883949279785,38.80779838562012,-0.005497574806213379,0.0003,-0.04306619108747682,530
5,125,5,22,-9.243566417694092,0.2,0.0022631811,0.0,48.172386169433594,101.97602691650391,-1.3524765968322754,0.0003,0.0022454091981053636,540
6,150,6,21,-8.428450298309325,0.2,0.09370613,0.33199999257922175,1.4611999988555908,3.6246089220046995,0.10849475860595703,0.0003,-0.09942672856152086,550
7,175,8,20,-9.183636093139649,0.2,0.0072525237,0.019999999552965164,63.27143859863281,137.04193649291992,-0.10773301124572754,0.0003,0.0006382946808287215,560
8,200,9,20,-8.093087196350098,0.2,0.01302006,0.051999999582767485,15.360883712768555,31.970998573303223,-0.011049270629882812,0.0003,-0.04105741293169558,570
9,225,11,19,-9.084028911590575,0.2,0.00984476,0.035999998450279236,7.758879661560059,17.14762153625488,-0.1472691297531128,0.0003,-0.03634969127550747,580
10,250,12,19,-8.496665668487548,0.2,0.024253475,0.13999999314546585,7.974119663238525,17.209799385070802,-0.014173030853271484,0.0003,-0.060492837958038594,590
1,25,0,27,-9.237289237976075,0.2,0.0051254295,0.007999999821186066,8.35596752166748,18.47981376647949,-0.47079193592071533,0.0003,-0.018864753478207062,600
2,50,2,23,-8.854805088043213,0.2,0.004063458,0.007999999821186066,47.148746490478516,97.08972702026367,-0.09717154502868652,0.0003,-0.023303196904716116,610
3,75,3,22,-9.084214019775391,0.2,0.041679338,0.19999999478459357,4.167405128479004,9.975962829589843,-0.29982447624206543,0.0003,-0.08011903594806853,620
4,100,4,21,-8.722602367401123,0.2,0.009786274,0.031999999284744264,43.55827331542969,90.26976699829102,0.061159491539001465,0.0003,-0.02874080654978748,630
5,125,5,21,-9.008970355987548,0.2,0.025700564,0.11999999731779099,6.052622318267822,14.087534427642822,-0.05277097225189209,0.0003,-0.06381751156970879,640
6,150,7,21,-8.045393085479736,0.2,0.010450618,0.03599999919533729,41.598655700683594,86.18937301635742,0.05919867753982544,0.0003,-0.02683966829441431,650
7,175,8,20,-8.544873332977295,0.2,0.008920538,0.02799999862909317,13.892319679260254,29.83304500579834,-0.09149479866027832,0.0003,-0.04160670984908936,660
8,200,9,20,-9.082946491241454,0.2,0.07754783,0.33199999630451205,1.1096199750900269,2.7649264335632324,-0.038329243659973145,0.0003,-0.09176191592216494,670
9,225,11,20,-9.096902561187743,0.2,0.03213464,0.19599999338388444,3.8144290447235107,8.737677335739136,-0.018074870109558105,0.0003,-0.05790160860121176,680
10,250,12,19,-8.736489963531493,0.2,0.011359465,0.0319999985396862,10.4266939163208,22.483616638183594,0.002095162868499756,0.0003,-0.04171107439696868,690
1,25,0,27,-8.385704517364502,0.2,0.016705824,0.06799999773502349,9.731575012207031,20.991748237609862,-0.003873586654663086,0.0003,-0.045610484370961754,700
2,50,1,25,-8.775725746154786,0.2,0.033019602,0.18799999505281448,4.762965679168701,10.650078296661377,-0.059778690338134766,0.0003,-0.0641616757512093,710
3,75,3,24,-9.130517387390137,0.2,0.0067727277,0.019999999552965164,58.007904052734375,119.43343124389648,0.02138739824295044,0.0003,-0.03232568394578976,720
4,100,4,23,-9.241138648986816,0.2,0.07396893,0.3359999947249889,0.39101412892341614,1.2869094967842103,-0.14088845252990723,0.0003,-0.09841159899160346,730
5,125,5,22,-9.335120677947998,0.2,0.029185843,0.1639999933540821,6.386042594909668,13.865039157867432,-0.06731367111206055,0.0003,-0.035043069650419055,740
6,150,6,22,-9.452916431427003,0.2,0.031331945,0.1679999902844429,3.3178746700286865,7.4754256248474125,0.03429996967315674,0.0003,-0.061984493043274115,750
7,175,8,21,-9.278248023986816,0.2,0.017346282,0.07599999681115151,11.384770393371582,24.272127532958983,0.016210198402404785,0.0003,-0.04858679818548275,760
8,200,9,20,-9.021081066131591,0.2,0.02286364,0.09599999636411667,8.304235458374023,17.536445236206056,-0.041265130043029785,0.0003,-0.05836686474271176,770
9,225,11,20,-9.306325912475586,0.2,0.054832056,0.2679999902844429,0.20758764445781708,0.9286513268947602,0.15531206130981445,0.0003,-0.08865463008731567,780
10,250,12,19,-9.177775192260743,0.2,0.010798423,0.03599999919533729,59.77904510498047,122.88802871704101,0.004710078239440918,0.0003,-0.01514274086477201,790
1,25,0,27,-9.264764308929443,0.2,0.0077430224,0.011999999731779098,8.051301002502441,17.422238922119142,-0.048206448554992676,0.0003,-0.035476268431172284,800
2,50,1,25,-9.122906112670899,0.2,0.005222497,0.007999999821186066,17.170684814453125,36.12757339477539,0.0317608118057251,0.0003,-0.02966963155846969,810
3,75,3,24,-9.400662612915038,0.2,0.0020349908,0.0,52.76326370239258,108.34095611572266,0.005009353160858154,0.0003,-0.012085958923911733,820
4,100,4,23,-9.224428462982178,0.2,0.016398698,0.07199999764561653,9.52733325958252,20.292045402526856,-0.018434524536132812,0.0003,-0.05050010549835946,830
5,125,5,22,-9.209250259399415,0.2,0.014374637,0.06399999931454659,12.174044609069824,25.715220069885255,0.0019171833992004395,0.0003,-0.04451631277985868,840
6,150,6,22,-9.47502965927124,0.2,0.048173036,0.24399999007582665,0.3593919277191162,1.2213373184204102,0.018611669540405273,0.0003,-0.08365583409368993,850
7,175,8,21,-9.360901165008546,0.2,0.019174602,0.10799999833106995,2.862037181854248,6.475918960571289,-0.015737533569335938,0.0003,-0.04686013614572602,860
8,200,9,21,-9.177499771118164,0.2,0.07278185,0.3359999917447567,0.607937216758728,1.7146233677864076,-0.0001876354217529297,0.0003,-0.0928332558646801,870
9,225,10,20,-9.030130386352539,0.2,0.049040582,0.22799999192357062,1.9778454303741455,4.682382440567016,-0.025372982025146484,0.0003,-0.07089167631044972,880
10,250,12,20,-8.762726497650146,0.2,0.010202426,0.02799999862909317,15.529973983764648,32.34834251403809,-0.004416465759277344,0.0003,-0.0284806867732982,890
1,25,0,27,-8.78610601425171,0.2,0.02147915,0.09199999570846558,9.630346298217773,20.41475601196289,-0.010704874992370605,0.0003,-0.040989049953408595,900
2,50,2,24,-8.985377788543701,0.2,0.047028646,0.21599999070167542,0.6939829587936401,1.903647243976593,0.001780092716217041,0.0003,-0.07744661384448434,910
