,reward,executed_asks,executed_bids,current_ask_price,current_bid_price
0,0.0,0,0,0.0,0.0
1,-0.30000000000000004,0,20,201.7,200.8
2,-1.2449999999999317,37,20,200.70000000000002,201.0
3,-0.045,0,0,201.1,199.8
4,-0.045,0,0,202.0,200.1
5,-0.10500000000000001,10,0,200.9,200.1
6,-0.10500000000000001,0,0,201.0,200.0
7,-1.0350000000000135,90,12,200.0,199.9
8,-1.275,0,0,200.2,199.0
9,-1.0499999999999998,0,15,199.6,200.0
10,-3.45,30,70,199.9,200.4
11,-1.0499999999999998,40,0,200.0,199.29999999999998
12,-2.550000000000068,30,50,200.0,200.3
13,-0.99,16,0,200.2,199.5
14,-0.6400000000000114,10,20,200.2,200.1
15,-0.8400000000000001,0,0,200.39999999999998,199.5
16,-1.5,44,0,199.8,199.89999999999998
17,-1.5,0,0,200.60000000000002,199.6
18,-0.8999999999999999,0,40,200.29999999999998,200.5
19,-0.6600000000000034,3,15,199.9,199.8
20,-1.08,24,0,200.6,199.3
21,-1.3800000000000001,20,0,200.2,200.0
22,-1.0499999999999998,0,22,201.1,200.0
23,-1.0499999999999998,0,0,201.7,200.2
24,-1.5,30,0,200.60000000000002,199.6
25,-1.5,0,0,200.6,200.0
26,-1.32,0,12,202.10000000000002,201.0
27,-1.47,10,0,201.8,200.5
28,-1.44,0,2,203.9,201.0
29,0.6499999999999773,4,10,203.29999999999998,200.8
30,-1.335,0,1,204.79999999999998,202.2
31,-1.185,0,10,204.6,203.5
32,-0.915,0,18,204.8,203.6
33,-0.99,5,0,204.9,204.0
34,-0.96,0,2,205.8,203.89999999999998
35,-0.915,0,3,205.39999999999998,204.4
36,-0.915,0,0,205.9,204.6
37,-0.36,0,37,206.3,205.6
38,-0.66,20,0,205.4,204.79999999999998
39,-0.5700000000000001,0,6,206.9,205.5
40,-1.6499999999999657,62,30,205.6,205.7
41,-1.185,9,0,205.6,204.7
42,-1.5,21,0,205.5,204.39999999999998
43,-1.5,0,0,205.9,205.3
44,-1.5,0,0,206.89999999999998,205.5
45,-1.5,0,0,206.5,205.6
46,-1.185,0,21,206.8,206.0
47,-0.885,0,20,206.5,206.5
48,0.4349999999999863,20,12,206.0,205.4
49,-1.26,17,0,205.70000000000002,205.2
50,-1.17,0,6,205.7,205.4
51,-1.4249999999999998,17,0,205.4,205.0
52,-1.4249999999999998,0,0,205.8,204.6
53,-1.4249999999999998,0,0,205.5,204.8
54,-1.4249999999999998,0,0,205.29999999999998,204.5
55,-0.4449999999999865,4,32,205.8,205.1
56,0.06000000000002048,9,44,205.9,205.6
57,-0.48,0,0,206.6,205.1
58,-0.735,17,0,205.9,204.8
59,-0.72,0,1,206.0,205.2
60,-0.72,0,0,205.79999999999998,204.70000000000002
61,-0.72,0,0,206.4,204.9
62,-0.5249999999999999,0,13,206.20000000000002,205.7
63,-0.5249999999999999,0,0,206.4,205.6
64,-0.39,0,9,206.6,205.9
65,-0.39,0,0,206.4,205.3
66,-0.09,0,20,205.79999999999998,206.10000000000002
67,-0.195,7,0,205.0,203.7
68,-0.255,0,30,205.8,204.7
69,-0.405,0,10,205.1,204.8
70,-1.5,0,73,205.4,204.9
71,-1.5,0,0,205.2,204.9
72,-1.5,0,0,205.2,204.3
73,-1.5,0,0,205.0,204.70000000000002
74,-1.2000000000000002,20,0,204.1,204.0
75,-1.2000000000000002,0,0,205.5,204.20000000000002
76,-3.0149999999999775,59,20,204.0,204.6
77,-0.765,0,10,203.7,204.3
78,-0.315,30,0,203.4,202.9
79,-0.165,32,0,203.9,203.10000000000002
80,-0.4900000000000034,20,1,203.5,203.70000000000002
81,-0.75,20,0,203.5,202.7
82,-0.75,0,0,204.4,202.9
83,-1.9500000000000455,20,20,203.2,203.5
84,-0.8999999999999999,10,0,203.1,202.5
85,-0.8999999999999999,0,0,204.2,203.4
86,-0.8999999999999999,0,0,204.2,203.6
87,-0.8999999999999999,0,0,203.39999999999998,202.7
88,-0.8999999999999999,0,0,203.39999999999998,202.6
89,-0.8999999999999999,0,0,204.2,202.5
90,-0.66,0,16,203.7,203.0
91,-0.66,0,0,203.2,202.5
92,-0.66,0,0,203.9,202.6
93,-0.24,0,60,203.5,203.2
94,-0.24,0,0,203.7,202.4
95,-0.96,80,0,202.5,201.9
96,-0.8699999999999999,0,6,203.20000000000002,202.29999999999998
97,-0.8699999999999999,0,0,202.9,201.8
